cmcRank,circulatingSupply,price,volume24h,fetched_on
60,12072738.0,111.50146733741052,20414535.57070495,2024 02 19 - 10:59:38 AM
60,12072738.0,111.72813504847336,20425153.25891628,2024 02 19 - 11:04:40 AM
60,12072738.0,111.83858137781918,20416846.92556754,2024 02 19 - 11:09:42 AM
60,12072738.0,111.79330366822172,20480046.94281885,2024 02 19 - 11:14:47 AM
60,12072738.0,111.70149514618264,20478732.66767053,2024 02 19 - 11:19:49 AM
60,12072738.0,111.62118497391923,20486402.91457505,2024 02 19 - 11:24:54 AM
60,12072738.0,111.8701717237442,20435823.79232521,2024 02 19 - 11:29:56 AM
60,12072738.0,112.04240100051689,20382516.08203727,2024 02 19 - 11:35:00 AM
60,12072738.0,112.35435584963933,20436090.76198538,2024 02 19 - 11:40:02 AM
60,12072738.0,112.38744086790349,20445559.72821885,2024 02 19 - 11:45:07 AM
60,12072738.0,112.52248583012664,20473115.51786481,2024 02 19 - 11:50:08 AM
60,12072738.0,112.45375123749939,20485444.2922532,2024 02 19 - 11:55:13 AM
60,12072738.0,112.43820488445435,20371915.23031058,2024 02 19 - 12:00:16 PM
60,12072738.0,112.54817985167679,20363033.0420059,2024 02 19 - 12:05:20 PM
60,12072738.0,112.45246810400903,20337620.17527685,2024 02 19 - 12:10:22 PM
60,12072738.0,112.37507495593452,20360910.21528666,2024 02 19 - 12:15:28 PM
60,12072738.0,112.61211636803819,20428022.12750706,2024 02 19 - 12:20:30 PM
60,12072738.0,112.445389197906,20421864.52887091,2024 02 19 - 12:25:34 PM
60,12072738.0,112.46566407746457,20442063.01835261,2024 02 19 - 12:30:37 PM
60,12072738.0,112.44615454660567,20425684.63724083,2024 02 19 - 12:32:32 PM
60,12072738.0,112.56755882237938,20310561.54754401,2024 02 19 - 12:37:37 PM
60,12072738.0,112.492284241357,20293840.39278986,2024 02 19 - 12:42:39 PM
60,12072738.0,112.40769778637606,20300570.99977259,2024 02 19 - 12:47:44 PM
60,12072738.0,112.40126988720371,20315789.52460645,2024 02 19 - 12:52:45 PM
60,12072738.0,112.40090989638097,20318451.01903178,2024 02 19 - 12:57:47 PM
60,12072738.0,112.65275465268067,20306922.88203465,2024 02 19 - 01:02:50 PM
60,12072738.0,112.88791526766965,20301370.32535364,2024 02 19 - 01:07:51 PM
60,12072738.0,112.6946849043857,20272642.86454234,2024 02 19 - 01:12:53 PM
60,12072738.0,112.47213899968988,20264621.70920359,2024 02 19 - 01:17:55 PM
60,12072738.0,112.50050747733023,20290022.78969303,2024 02 19 - 01:22:58 PM
60,12072738.0,112.75447211332173,20298195.86589919,2024 02 19 - 01:28:00 PM
60,12072738.0,112.80862006097435,20324968.32561273,2024 02 19 - 01:33:02 PM
60,12072738.0,112.64894882224962,20300945.12985337,2024 02 19 - 01:38:07 PM
60,12072738.0,112.8571930628529,20333025.05259443,2024 02 19 - 01:43:09 PM
60,12072738.0,112.7916785278613,20305698.99161046,2024 02 19 - 01:48:14 PM
60,12072738.0,112.74443120087844,20355399.84884959,2024 02 19 - 01:53:16 PM
60,12072738.0,112.83400762320302,20405548.32504835,2024 02 19 - 01:58:19 PM
60,12072738.0,112.6869314032645,20355767.07906752,2024 02 19 - 02:03:21 PM
60,12072738.0,112.10798172638425,20481979.27572204,2024 02 19 - 02:08:26 PM
60,12072738.0,111.92920665457606,20557395.29693274,2024 02 19 - 02:13:28 PM
60,12072738.0,111.86934941887574,20564185.71561148,2024 02 19 - 02:18:29 PM
60,12072738.0,111.46811361575101,20579221.95054985,2024 02 19 - 02:23:31 PM
60,12072738.0,111.13118945909137,20612843.33370798,2024 02 19 - 02:28:40 PM
60,12072738.0,111.14294120692355,20632648.62011224,2024 02 19 - 02:33:42 PM
60,12072738.0,111.57576102521539,20466371.44613525,2024 02 19 - 02:38:45 PM
60,12072738.0,111.89178756816831,20506687.54002124,2024 02 19 - 02:43:47 PM
60,12072738.0,112.15624353036714,20563979.52128535,2024 02 19 - 02:48:53 PM
60,12072738.0,112.05766841754571,20579565.94878641,2024 02 19 - 02:53:56 PM
60,12072738.0,112.2008958318861,20588742.12786043,2024 02 19 - 02:58:58 PM
60,12072738.0,112.3840496725863,20635849.96032294,2024 02 19 - 03:04:05 PM
60,12072738.0,112.2215203439737,20628683.87976183,2024 02 19 - 03:09:10 PM
60,12072738.0,112.19755366594883,20659985.99553139,2024 02 19 - 03:14:12 PM
60,12072738.0,112.05959390159687,20710974.18397682,2024 02 19 - 03:19:13 PM
60,12072738.0,111.92316151354065,20667965.20551058,2024 02 19 - 03:24:16 PM
60,12072738.0,111.75749546582838,20704564.51923754,2024 02 19 - 03:29:20 PM
60,12072738.0,111.21274495736762,20682902.98537794,2024 02 19 - 03:36:03 PM
60,12072738.0,111.14578818250571,20699298.84720474,2024 02 19 - 03:42:06 PM
60,12072738.0,111.36969270644249,20608088.33375396,2024 02 19 - 03:47:08 PM
60,12072738.0,111.21482897210704,20321574.04686693,2024 02 19 - 03:52:10 PM
60,12072738.0,110.98147905300351,20323946.85619956,2024 02 19 - 03:57:12 PM
60,12072738.0,110.62152219805986,20440109.64661473,2024 02 19 - 04:02:15 PM
60,12072738.0,110.72387020486197,20487423.74357617,2024 02 19 - 04:07:17 PM
60,12072738.0,111.52178452871702,20562032.51890659,2024 02 19 - 04:12:20 PM
60,12072738.0,111.77128962625578,20593062.96404006,2024 02 19 - 04:17:22 PM
60,12072738.0,111.64704020438292,20580010.39629425,2024 02 19 - 04:22:26 PM
60,12072738.0,111.6675069682297,20555813.3984705,2024 02 19 - 04:27:28 PM
